strain	accession	clade
OQ504181.1	OQ504181.1	G2c
OQ504182.1	OQ504182.1	G2c
OQ504183.1	OQ504183.1	G2c
OQ504185.1	OQ504185.1	G2c
OQ589489.1	OQ589489.1	G2b
OQ657291.1	OQ657291.1	G2c
OQ657292.1	OQ657292.1	G2c
OQ657293.1	OQ657293.1	G2c
OQ657294.1	OQ657294.1	G2c
OQ657295.1	OQ657295.1	G2c
OQ657297.1	OQ657297.1	G2c
OQ703966.1	OQ703966.1	G2c
OQ718863.1	OQ718863.1	G2b
OQ718883.1	OQ718883.1	G2c
OQ718884.1	OQ718884.1	G2c
OQ718885.1	OQ718885.1	G2c
OQ718886.1	OQ718886.1	G2c
OQ718887.1	OQ718887.1	G2c
OQ718888.1	OQ718888.1	G2c
OQ718889.1	OQ718889.1	G2c
OQ718890.1	OQ718890.1	G2c
OQ718891.1	OQ718891.1	G2c
OQ718892.1	OQ718892.1	G2c
OQ718893.1	OQ718893.1	G2c
OQ718894.1	OQ718894.1	G2c
OQ718895.1	OQ718895.1	G2c
OQ718896.1	OQ718896.1	G2c
OQ718897.1	OQ718897.1	G2c
OQ718898.1	OQ718898.1	G2c
OQ718899.1	OQ718899.1	G2c
OQ718900.1	OQ718900.1	G2c
OQ718901.1	OQ718901.1	G2c
OQ718902.1	OQ718902.1	G2c
OQ718903.1	OQ718903.1	G2c
OQ718904.1	OQ718904.1	G2c
OQ718905.1	OQ718905.1	G2c
OQ718906.1	OQ718906.1	G2c
OQ718907.1	OQ718907.1	G2c
OQ718908.1	OQ718908.1	G2c
OQ718909.1	OQ718909.1	G2c
OQ718910.1	OQ718910.1	G2c
OQ718911.1	OQ718911.1	G2c
OQ723792.1	OQ723792.1	G2a
OQ731917.1	OQ731917.1	G1b
OQ731918.1	OQ731918.1	G2c
OQ858592.1	OQ858592.1	G2a
OQ915150.1	OQ915150.1	G2c
OQ979198.1	OQ979198.1	G2c
OQ979199.1	OQ979199.1	G2c
OQ979200.1	OQ979200.1	G2c
OQ979201.1	OQ979201.1	G2a
OR001816.1	OR001816.1	G2c
OR001817.1	OR001817.1	G2b
OR001818.1	OR001818.1	G2c
OR001819.1	OR001819.1	G2c
OR001820.1	OR001820.1	G2c
OR001821.1	OR001821.1	G2c
OR001822.1	OR001822.1	G2c
OR001823.1	OR001823.1	G2c
OR001824.1	OR001824.1	S-INDEL
OR061129.1	OR061129.1	G2c
OR085228.1	OR085228.1	G2c
OR085229.1	OR085229.1	G2c
OR085230.1	OR085230.1	G2c
OR085231.1	OR085231.1	G2c
OR085232.1	OR085232.1	G2c
OR085233.1	OR085233.1	G2c
OR085234.1	OR085234.1	G2c
OR085235.1	OR085235.1	S-INDEL
OR085236.1	OR085236.1	S-INDEL
OR085237.1	OR085237.1	S-INDEL
OR085239.1	OR085239.1	S-INDEL
OR085240.1	OR085240.1	S-INDEL
OR085241.1	OR085241.1	S-INDEL
OR085244.1	OR085244.1	G2a
OR085245.1	OR085245.1	G2c
OR085246.1	OR085246.1	G2c
OR085247.1	OR085247.1	G2c
OR085248.1	OR085248.1	G2c
OR085249.1	OR085249.1	G2c
OR085250.1	OR085250.1	G2c
OR085251.1	OR085251.1	G2c
OR085253.1	OR085253.1	G2c
OR085254.1	OR085254.1	G2c
OR085255.1	OR085255.1	G2c
OR085257.1	OR085257.1	G2c
OR085258.1	OR085258.1	G2c
OR085259.1	OR085259.1	G2c
OR085260.1	OR085260.1	G2c
OR085261.1	OR085261.1	G2c
OR085267.1	OR085267.1	G2c
OR085268.1	OR085268.1	G2c
OR085269.1	OR085269.1	G2c
OR085270.1	OR085270.1	G2c
OR085271.1	OR085271.1	G2c
OR085272.1	OR085272.1	G2c
OR085273.1	OR085273.1	G2c
OR085274.1	OR085274.1	G2c
OR085275.1	OR085275.1	G2c
OR085277.1	OR085277.1	G2c
OR085278.1	OR085278.1	G2c
OR085279.1	OR085279.1	G2c
OR085281.1	OR085281.1	G2a
OR085282.1	OR085282.1	G2a
OR085284.1	OR085284.1	G2a
OR085285.1	OR085285.1	G2a
OR085286.1	OR085286.1	G2c
OR085287.1	OR085287.1	G2c
OR085288.1	OR085288.1	G2c
OR085289.1	OR085289.1	G2c
OR085290.1	OR085290.1	G2c
OR085291.1	OR085291.1	G2c
OR085292.1	OR085292.1	G2c
OR085293.1	OR085293.1	G2c
OR085294.1	OR085294.1	G2c
OR085296.1	OR085296.1	G2c
OR085297.1	OR085297.1	G2c
OR085298.1	OR085298.1	G2b
OR085299.1	OR085299.1	G2b
OR085300.1	OR085300.1	G2b
OR085309.1	OR085309.1	G2b
OR085310.1	OR085310.1	G2b
OR085311.1	OR085311.1	G2b
OR085312.1	OR085312.1	G2c
OR089086.1	OR089086.1	G2c
OR090885.1	OR090885.1	G2a
OR090886.1	OR090886.1	G2a
OR090887.1	OR090887.1	G2a
OR090888.1	OR090888.1	G2a
OR195026.1	OR195026.1	G2c
OR195027.1	OR195027.1	G2c
OR195028.1	OR195028.1	G2c
OR195029.1	OR195029.1	G2a
OR195030.1	OR195030.1	G2c
OR195031.1	OR195031.1	G2c
OR195032.1	OR195032.1	G2c
OR195033.1	OR195033.1	G2c
OR195035.1	OR195035.1	S-INDEL
OR195038.1	OR195038.1	G2c
OR234022.1	OR234022.1	G2c
OR240110.1	OR240110.1	G2c
OR365272.1	OR365272.1	G2a
OR365273.1	OR365273.1	G2a
OR365274.1	OR365274.1	G2a
OR365275.1	OR365275.1	G2a
OR365276.1	OR365276.1	G2a
OR365277.1	OR365277.1	G2a
OR365278.1	OR365278.1	G2a
OR365279.1	OR365279.1	G2a
OR418363.1	OR418363.1	G2c
OR418364.1	OR418364.1	G2c
OR472492.1	OR472492.1	G2c
OR501721.1	OR501721.1	G2c
OR501723.1	OR501723.1	G2c
OR526953.1	OR526953.1	G2c
OR567503.1	OR567503.1	G2c
OR567504.1	OR567504.1	G2c
OR567505.1	OR567505.1	G2c
OR567506.1	OR567506.1	G2c
OR567507.1	OR567507.1	G2c
OR567508.1	OR567508.1	G2c
OR567509.1	OR567509.1	G2c
OR576821.1	OR576821.1	G2b
OR576822.1	OR576822.1	G2b
OR576823.1	OR576823.1	G2c
OR576824.1	OR576824.1	G2c
OR576825.1	OR576825.1	G2c
OR576826.1	OR576826.1	G2c
OR587951.1	OR587951.1	G2c
OR596889.1	OR596889.1	G2a
OR601542.1	OR601542.1	G2c
OR601543.1	OR601543.1	G2c
OR684450.1	OR684450.1	G2c
OR684451.1	OR684451.1	G2c
OR684452.1	OR684452.1	G2c
OR707084.1	OR707084.1	G2a
OR722805.1	OR722805.1	G2a
OR734225.1	OR734225.1	G2c
OR804100.1	OR804100.1	G2c
OR808013.1	OR808013.1	S-INDEL
OR808015.1	OR808015.1	G2c
OR808016.1	OR808016.1	G2c
OR808017.1	OR808017.1	G2c
OR808019.1	OR808019.1	S-INDEL
OR808020.1	OR808020.1	G2c
OR992086.1	OR992086.1	G2a
OR992087.1	OR992087.1	G2a
OR992088.1	OR992088.1	G2c
PP003006.1	PP003006.1	G2c
PP083729.1	PP083729.1	G2c
PP198349.1	PP198349.1	G2c
PP373526.1	PP373526.1	G2c
PP395568.1	PP395568.1	G2c
PP395570.1	PP395570.1	G1a
PP395573.1	PP395573.1	G2c
PP395575.1	PP395575.1	G2c
PP395576.1	PP395576.1	G1b
PP395577.1	PP395577.1	G2c
PP395578.1	PP395578.1	G2a
PP395579.1	PP395579.1	G2c
PP395580.1	PP395580.1	G2c
PP395581.1	PP395581.1	G2c
PP395582.1	PP395582.1	G2a
PP395583.1	PP395583.1	G2c
PP395584.1	PP395584.1	G2b
PP395585.1	PP395585.1	G2a
PP395586.1	PP395586.1	G2c
PP395587.1	PP395587.1	G2c
PP395588.1	PP395588.1	G2a
PP395589.1	PP395589.1	G2c
PP395590.1	PP395590.1	G2c
PP395591.1	PP395591.1	G2c
PP395592.1	PP395592.1	G2c
PP395593.1	PP395593.1	G2c
PP395594.1	PP395594.1	S-INDEL
PP442050.1	PP442050.1	G2c
PP472642.1	PP472642.1	G2c
PP472643.1	PP472643.1	G2c
PP472644.1	PP472644.1	G2c
PP472645.1	PP472645.1	S-INDEL
PP472646.1	PP472646.1	G2c
PP537163.1	PP537163.1	G2c
PP580800.1	PP580800.1	G2c
PP580802.1	PP580802.1	G2c
PP580803.1	PP580803.1	G2c
PP580804.1	PP580804.1	S-INDEL
PP580805.1	PP580805.1	S-INDEL
PP580808.1	PP580808.1	G2b
PP580811.1	PP580811.1	G2b
PP580812.1	PP580812.1	G2c
PP580813.1	PP580813.1	G2b
PP580814.1	PP580814.1	G2c
PP580815.1	PP580815.1	G2c
PP580816.1	PP580816.1	G2c
PP580817.1	PP580817.1	G2c
PP580818.1	PP580818.1	G2c
PP580819.1	PP580819.1	G2c
PP580821.1	PP580821.1	G2c
PP580822.1	PP580822.1	G2c
PP580823.1	PP580823.1	G2c
PP580824.1	PP580824.1	G2c
PP580825.1	PP580825.1	G2c
PP580826.1	PP580826.1	G2c
PP580827.1	PP580827.1	G2c
PP580828.1	PP580828.1	G2c
PP580829.1	PP580829.1	G2c
PP595924.1	PP595924.1	G2c
PP623116.1	PP623116.1	G2c
PP690527.1	PP690527.1	G2c
PP723328.1	PP723328.1	G2b
PP723329.1	PP723329.1	G2a
PP723330.1	PP723330.1	G2c
PP723331.1	PP723331.1	G2c
PP842666.1	PP842666.1	G2c
PP901932.1	PP901932.1	G2c
PP901933.1	PP901933.1	G2c
PP901934.1	PP901934.1	G2c
PP901935.1	PP901935.1	G2b
PP901936.1	PP901936.1	G2c
PP901937.1	PP901937.1	G2c
PP901938.1	PP901938.1	G2c
PP901939.1	PP901939.1	G2c
PP901940.1	PP901940.1	G2c
PP901941.1	PP901941.1	G2c
PP901942.1	PP901942.1	G2c
PP901943.1	PP901943.1	G2c
PP901944.1	PP901944.1	G2c
PP901945.1	PP901945.1	G2c
PP901946.1	PP901946.1	G2c
PP901947.1	PP901947.1	G2c
PP901948.1	PP901948.1	G2c
PP901949.1	PP901949.1	G2c
PP901950.1	PP901950.1	G2c
PP901951.1	PP901951.1	G2c
PP901952.1	PP901952.1	G2c
PP906225.1	PP906225.1	G2c
PP906226.1	PP906226.1	G2c
PP906227.1	PP906227.1	G2c
PP906229.1	PP906229.1	G2a
PP906230.1	PP906230.1	G2c
PP911340.1	PP911340.1	G2c
PP923928.1	PP923928.1	G2a
PP923930.1	PP923930.1	G2c
PP923931.1	PP923931.1	G2b
PP923932.1	PP923932.1	G2a
PP923936.1	PP923936.1	G2c
PP923937.1	PP923937.1	G2c
PP923940.1	PP923940.1	G2c
PP923945.1	PP923945.1	S-INDEL
PP923946.1	PP923946.1	S-INDEL
PP923949.1	PP923949.1	G2c
PP923950.1	PP923950.1	G2c
PP923951.1	PP923951.1	G2c
PP958821.1	PP958821.1	G2c
PP987385.1	PP987385.1	G2c
PP998009.1	PP998009.1	G2a
PP999774.1	PP999774.1	G2c
PQ014389.1	PQ014389.1	G2c
PQ119498.1	PQ119498.1	G2c
PQ123997.1	PQ123997.1	G2c
PQ123998.1	PQ123998.1	G2c
PQ123999.1	PQ123999.1	S-INDEL
PQ124001.1	PQ124001.1	G2c
PQ124002.1	PQ124002.1	G2c
PQ124003.1	PQ124003.1	G2c
PQ124004.1	PQ124004.1	G2c
PQ124005.1	PQ124005.1	G2c
PQ124006.1	PQ124006.1	G2c
PQ124008.1	PQ124008.1	G2c
PQ124010.1	PQ124010.1	G2c
PQ124011.1	PQ124011.1	G2c
PQ124012.1	PQ124012.1	G2c
PQ179480.1	PQ179480.1	G2c
PQ284566.1	PQ284566.1	G2c
PQ284567.1	PQ284567.1	G2c
PQ284568.1	PQ284568.1	G2a
PQ284569.1	PQ284569.1	G2a
PQ284570.1	PQ284570.1	G2a
PQ284571.1	PQ284571.1	G2b
PQ284572.1	PQ284572.1	G2b
PQ284573.1	PQ284573.1	G2c
PQ316090.1	PQ316090.1	G2c
PQ316091.1	PQ316091.1	G2c
PQ316092.1	PQ316092.1	G2c
PQ349477.1	PQ349477.1	G2c
PQ349478.1	PQ349478.1	G2c
PQ349479.1	PQ349479.1	G2c
PQ349480.1	PQ349480.1	G2c
PQ507869.1	PQ507869.1	G2c
PQ507870.1	PQ507870.1	G2c
PQ507871.1	PQ507871.1	G2c
PQ507872.1	PQ507872.1	G2c
PQ507873.1	PQ507873.1	S-INDEL
PQ507874.1	PQ507874.1	S-INDEL
PQ631046.1	PQ631046.1	G2c
PQ642131.1	PQ642131.1	G2c
PQ682538.1	PQ682538.1	G2c
PQ768103.1	PQ768103.1	S-INDEL
PQ846960.1	PQ846960.1	G2c
PQ870875.1	PQ870875.1	G2c
PQ870876.1	PQ870876.1	G2c
PQ870877.1	PQ870877.1	G2c
PQ878525.1	PQ878525.1	S-INDEL
PV036764.1	PV036764.1	G2c
PV036765.1	PV036765.1	G2c
PV036767.1	PV036767.1	G2c
PV036768.1	PV036768.1	G2c
PV036769.1	PV036769.1	G2b
PV036770.1	PV036770.1	G2a
PV036771.1	PV036771.1	G2a
PV036773.1	PV036773.1	G2c
PV036776.1	PV036776.1	G2c
PV036777.1	PV036777.1	G2c
PV036778.1	PV036778.1	G2c
PV036779.1	PV036779.1	G2c
PV036780.1	PV036780.1	G2c
PV098397.1	PV098397.1	G2c
PV098398.1	PV098398.1	G2c
PV107499.1	PV107499.1	G2c
PV125746.1	PV125746.1	G2c
PV146387.1	PV146387.1	G2c
PV146388.1	PV146388.1	G2c
PV146389.1	PV146389.1	G2c
PV146390.1	PV146390.1	G2c
PV146391.1	PV146391.1	G2c
PV146393.1	PV146393.1	G2c
PV146394.1	PV146394.1	G2c
PV146395.1	PV146395.1	G2b
PV146397.1	PV146397.1	G2b
PV146398.1	PV146398.1	G2c
PV146399.1	PV146399.1	G2c
PV146401.1	PV146401.1	G2c
PV164718.1	PV164718.1	G2c
PV164719.1	PV164719.1	G2c
PV164720.1	PV164720.1	S-INDEL
PV164721.1	PV164721.1	S-INDEL
PV164722.1	PV164722.1	G2b
PV164723.1	PV164723.1	G2c
PV164724.1	PV164724.1	G2c
PV164725.1	PV164725.1	G2c
PV164726.1	PV164726.1	G2c
PV164728.1	PV164728.1	G2b
PV164730.1	PV164730.1	G2c
PV164732.1	PV164732.1	G2c
PV164735.1	PV164735.1	G2c
PV167803.1	PV167803.1	G1b
PV167804.1	PV167804.1	G1b
PV167805.1	PV167805.1	G1b
PV167807.1	PV167807.1	G1b
PV167810.1	PV167810.1	G2a
PV167811.1	PV167811.1	G2a
PV232221.1	PV232221.1	G1b
PV235412.1	PV235412.1	G2c
PV235413.1	PV235413.1	G2c
PV235414.1	PV235414.1	G2c
PV235415.1	PV235415.1	G2c
PV250054.1	PV250054.1	G2c
PV250055.1	PV250055.1	G2c
PV389918.1	PV389918.1	G2c
PV389919.1	PV389919.1	G2c
PV394113.1	PV394113.1	G2c
PV394114.1	PV394114.1	G2c
PV409558.1	PV409558.1	G2c
PV409559.1	PV409559.1	G2c
PV409560.1	PV409560.1	G2c
PV409561.1	PV409561.1	G2c
PV409562.1	PV409562.1	G2c
PV409563.1	PV409563.1	G2c
PV409564.1	PV409564.1	G2c
PV409565.1	PV409565.1	G2c
PV409566.1	PV409566.1	G2c
PV409567.1	PV409567.1	G2c
PV409568.1	PV409568.1	G2c
PV449162.1	PV449162.1	G2b
PV464256.1	PV464256.1	G2c
PV523939.1	PV523939.1	S-INDEL
PV523940.1	PV523940.1	S-INDEL
PV523941.1	PV523941.1	G2b
PV523942.1	PV523942.1	G2b
PV523943.1	PV523943.1	G2a
PV523944.1	PV523944.1	G2a
PV523945.1	PV523945.1	G2a
PV523946.1	PV523946.1	G2a
PV523947.1	PV523947.1	G2a
PV523948.1	PV523948.1	G2a
PV523949.1	PV523949.1	G2a
PV523950.1	PV523950.1	G2a
PV523951.1	PV523951.1	G2a
PV523952.1	PV523952.1	G2a
PV523953.1	PV523953.1	G2a
PV523954.1	PV523954.1	G2a
PV523955.1	PV523955.1	G2a
PV523956.1	PV523956.1	G2a
PV523957.1	PV523957.1	G2c
PV523958.1	PV523958.1	G2c
PV523959.1	PV523959.1	G2c
PV523960.1	PV523960.1	G2c
PV523961.1	PV523961.1	G2c
PV523962.1	PV523962.1	G2c
PV523963.1	PV523963.1	G2c
PV523964.1	PV523964.1	G2c
PV523965.1	PV523965.1	G2c
PV523966.1	PV523966.1	G2c
PV523967.1	PV523967.1	G2c
PV523968.1	PV523968.1	G2c
PV523970.1	PV523970.1	G2c
PV523971.1	PV523971.1	G2c
PV523972.1	PV523972.1	G2c
PV523973.1	PV523973.1	G2c
PV523974.1	PV523974.1	G2c
PV523975.1	PV523975.1	G2c
PV523976.1	PV523976.1	G2c
PV523977.1	PV523977.1	G2c
PV523978.1	PV523978.1	G2c
PV523979.1	PV523979.1	G2c
PV523980.1	PV523980.1	G2c
PV523981.1	PV523981.1	G2c
PV523982.1	PV523982.1	G2c
PV523983.1	PV523983.1	G2c
PV523984.1	PV523984.1	G2c
PV523985.1	PV523985.1	G2c
PV523986.1	PV523986.1	G2c
PV523987.1	PV523987.1	G2c
PV523988.1	PV523988.1	G2c
PV523990.1	PV523990.1	G2c
PV523991.1	PV523991.1	G2c
PV523992.1	PV523992.1	G2c
PV523993.1	PV523993.1	G2c
PV523994.1	PV523994.1	G2c
PV523995.1	PV523995.1	G2c
PV523996.1	PV523996.1	G2c
PV523997.1	PV523997.1	G2c
PV523998.1	PV523998.1	G2c
PV523999.1	PV523999.1	G2c
PV524000.1	PV524000.1	G2c
PV524001.1	PV524001.1	G2c
PV524002.1	PV524002.1	G2c
PV524003.1	PV524003.1	G2c
PV536060.1	PV536060.1	G2c
PV536061.1	PV536061.1	G2c
PV536062.1	PV536062.1	G2c
PV536063.1	PV536063.1	G2c
PV536064.1	PV536064.1	G2c
PV536065.1	PV536065.1	G2c
PV536067.1	PV536067.1	G2c
PV536068.1	PV536068.1	G2c
PV536069.1	PV536069.1	G2c
PV536070.1	PV536070.1	G2c
PV536071.1	PV536071.1	G2c
PV536072.1	PV536072.1	G2c
PV536074.1	PV536074.1	S-INDEL
PV536075.1	PV536075.1	G2c
PV536076.1	PV536076.1	G2c
PV536077.1	PV536077.1	G2c
PV536078.1	PV536078.1	G2c
PV536080.1	PV536080.1	G2b
PV536081.1	PV536081.1	G2b
PV536084.1	PV536084.1	G2c
PV536085.1	PV536085.1	G2c
PV536087.1	PV536087.1	G2c
PV536088.1	PV536088.1	G2c
PV536089.1	PV536089.1	G2c
PV536091.1	PV536091.1	S-INDEL
PV536092.1	PV536092.1	G2c
PV536094.1	PV536094.1	G2c
PV536095.1	PV536095.1	G2c
PV536096.1	PV536096.1	G2c
PV536097.1	PV536097.1	G2c
PV536098.1	PV536098.1	G2c
PV536100.1	PV536100.1	G2c
PV536102.1	PV536102.1	G2c
PV536103.1	PV536103.1	G2c
PV536104.1	PV536104.1	G2c
PV536105.1	PV536105.1	G2c
PV536106.1	PV536106.1	G2b
PV536107.1	PV536107.1	G2c
PV536108.1	PV536108.1	G2a
PV536109.1	PV536109.1	G2a
PV536110.1	PV536110.1	G2a
PV536111.1	PV536111.1	G2a
PV536113.1	PV536113.1	G2c
PV536114.1	PV536114.1	G2c
PV536115.1	PV536115.1	G2c
PV536116.1	PV536116.1	G2c
PV536117.1	PV536117.1	G2c
PV536118.1	PV536118.1	G2c
PV536119.1	PV536119.1	G2c
PV536120.1	PV536120.1	G2c
PV536121.1	PV536121.1	G2c
PV549293.1	PV549293.1	S-INDEL
PV609791.1	PV609791.1	G2c
PV609792.1	PV609792.1	G2c
PV609793.1	PV609793.1	G2c
PV609794.1	PV609794.1	G2c
PV609795.1	PV609795.1	G2c
PV609797.1	PV609797.1	G2c
PV609798.1	PV609798.1	G2a
PV609799.1	PV609799.1	G2c
PV609800.1	PV609800.1	G2b
PV609801.1	PV609801.1	S-INDEL
PV614326.1	PV614326.1	G2c
PV614327.1	PV614327.1	G2c
PV614328.1	PV614328.1	G2c
PV614330.1	PV614330.1	G2b
PV614331.1	PV614331.1	S-INDEL
PV614333.1	PV614333.1	G2c
PV614336.1	PV614336.1	G2c
PV614337.1	PV614337.1	G2c
PV641626.1	PV641626.1	G2b
PV641627.1	PV641627.1	G2c
PV641628.1	PV641628.1	G2c
PV641629.1	PV641629.1	G2c
PV641630.1	PV641630.1	G2c
PV641631.1	PV641631.1	G2c
PV641632.1	PV641632.1	G2b
PV641633.1	PV641633.1	G2c
PV641634.1	PV641634.1	G2c
PV641635.1	PV641635.1	G2c
PV691661.1	PV691661.1	G2c
PV695983.1	PV695983.1	G2b
PV800119.1	PV800119.1	G2c
PV837602.1	PV837602.1	G2c
PV843383.1	PV843383.1	S-INDEL
PV843385.1	PV843385.1	S-INDEL
PV843388.1	PV843388.1	S-INDEL
PV843391.1	PV843391.1	S-INDEL
PV843392.1	PV843392.1	S-INDEL
PV843393.1	PV843393.1	S-INDEL
PV843394.1	PV843394.1	S-INDEL
PV843396.1	PV843396.1	S-INDEL
PV843397.1	PV843397.1	S-INDEL
PV843398.1	PV843398.1	S-INDEL
PV843401.1	PV843401.1	S-INDEL
PV843403.1	PV843403.1	S-INDEL
PV843404.1	PV843404.1	S-INDEL
PV843405.1	PV843405.1	S-INDEL
PV843410.1	PV843410.1	S-INDEL
PV843411.1	PV843411.1	S-INDEL
PV843412.1	PV843412.1	S-INDEL
PV843413.1	PV843413.1	S-INDEL
PV843414.1	PV843414.1	S-INDEL
PV843417.1	PV843417.1	S-INDEL
PV843418.1	PV843418.1	S-INDEL
PV843419.1	PV843419.1	S-INDEL
PV844362.1	PV844362.1	G2c
PV844363.1	PV844363.1	G2c
PV844364.1	PV844364.1	G2c
PV844365.1	PV844365.1	G2c
PV844366.1	PV844366.1	G2c
PV844367.1	PV844367.1	S-INDEL
PV844368.1	PV844368.1	G2c
PV844369.1	PV844369.1	G2b
PV844370.1	PV844370.1	G2b
PV844372.1	PV844372.1	G2c
PV844373.1	PV844373.1	G2c
PV844374.1	PV844374.1	G2c
PV844375.1	PV844375.1	G2c
PV844376.1	PV844376.1	G2c
PV890852.1	PV890852.1	G2c
PV890853.1	PV890853.1	G2c
PV890854.1	PV890854.1	G2c
PV890855.1	PV890855.1	G2c
PV890856.1	PV890856.1	G2c
PV890858.1	PV890858.1	G2c
PV890859.1	PV890859.1	G2c
PV890860.1	PV890860.1	G2c
PV890861.1	PV890861.1	G2c
PV890862.1	PV890862.1	G2c
PV890863.1	PV890863.1	G2c
PV890864.1	PV890864.1	G2c
PV890865.1	PV890865.1	G2c
PV890866.1	PV890866.1	G2c
PV890867.1	PV890867.1	G2c
PV890868.1	PV890868.1	G2c
PV890869.1	PV890869.1	G2c
PV890870.1	PV890870.1	G2c
PV890949.1	PV890949.1	G2a
PV890950.1	PV890950.1	G2c
PV902815.1	PV902815.1	G2c
PV935323.1	PV935323.1	G2c
PV935324.1	PV935324.1	G2c
PV974486.1	PV974486.1	S-INDEL
PV982377.1	PV982377.1	G2c
PX146708.1	PX146708.1	G2c
PX229687.1	PX229687.1	G2c
PX229689.1	PX229689.1	G2c
PX229690.1	PX229690.1	G2c
PX229691.1	PX229691.1	G2c
PX229692.1	PX229692.1	G2c
PX229693.1	PX229693.1	G2c
PX229694.1	PX229694.1	G2c
PX229695.1	PX229695.1	G2c
PX229696.1	PX229696.1	G2c
PX229697.1	PX229697.1	G2c
PX229698.1	PX229698.1	G2c
PX229699.1	PX229699.1	G2c
PX229700.1	PX229700.1	G2c
PX229701.1	PX229701.1	G2c
PX229702.1	PX229702.1	S-INDEL
PX229703.1	PX229703.1	G2c
PX229705.1	PX229705.1	G2c
PX229706.1	PX229706.1	G2b
PX229707.1	PX229707.1	G2c
PX229708.1	PX229708.1	G2c
PX229709.1	PX229709.1	G2c
PX229714.1	PX229714.1	S-INDEL
PX387542.1	PX387542.1	G2c
PX437825.1	PX437825.1	G2c
PX439079.1	PX439079.1	G1b
PX470115.1	PX470115.1	G2c
PX475711.1	PX475711.1	G2a
PX482648.1	PX482648.1	G2c
PX482649.1	PX482649.1	G2b
PX482650.1	PX482650.1	G2c
PX482651.1	PX482651.1	G2c
PX482652.1	PX482652.1	G2c
PX482653.1	PX482653.1	G2c
PX482655.1	PX482655.1	G2c
PX569374.1	PX569374.1	G2c
PX619214.1	PX619214.1	G2c
PX619215.1	PX619215.1	G2a
PX619216.1	PX619216.1	G2c
PX619217.1	PX619217.1	G2c
PX619218.1	PX619218.1	G2c
PX652412.1	PX652412.1	G2a
PX652413.1	PX652413.1	G2b
PX705503.1	PX705503.1	G2c
PX737630.1	PX737630.1	G2c
PX737631.1	PX737631.1	G2c
